CODENAME,GUNAME,TITLE,DATE,PLACE,ORG_NAME,USE_TRGT,USE_FEE,PLAYER,PROGRAM,ETC_DESC,ORG_LINK,MAIN_IMG,RGSTDATE,TICKET,STRTDATE,END_DATE,THEMECODE,LOT,LAT,IS_FREE,HMPG_ADDR
축제-기타,마포구,[M클래식 축제] 마포공연예술관광페스티벌 [타케자와 유토 피아노 리사이틀],2023-12-07~2023-12-07,마포아트센터 아트홀 맥,마포문화재단,8세 이상,"R석 50,000원 / S석 30,000 / A석 20,000원",타케자와 유토 ,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2219&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=98b236d199594782b856d8529279f60f&thumb=Y,2023-07-06,기관,2023-12-07 00:00:00.0,2023-12-07 00:00:00.0,기타,37.5499060881738,126.945533810385,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142296&menuNo=200010
축제-기타,마포구,[M클래식 축제] 마포공연예술관광페스티벌 킷 암스트롱 피아노 리사이틀,2023-12-06~2023-12-06,마포아트센터 아트홀맥,마포문화재단,8세 이상,"R석 50,000원 / S석 30,000 / A석 20,000원",킷 암스트롱,,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2218&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a746bbf37f4d439aa5a2711e6fbd6e54&thumb=Y,2023-07-06,기관,2023-12-06 00:00:00.0,2023-12-06 00:00:00.0,기타,37.5499060881738,126.945533810385,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142295&menuNo=200010
축제-기타,은평구,2023 서울기록페어: 기록이 모이면 서울이 됩니다,2023-10-24~2023-10-29,서울기록원(서울특별시 은평구 통일로62길 7),서울시청,프로그램별 상이,,,,,https://archives.seoul.go.kr/post/3797,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e550d63baaf94bb6922f3c0a6c411021&thumb=Y,2023-10-10,기관,2023-10-24 00:00:00.0,2023-10-29 00:00:00.0,기타,37.60753302960548,126.93486015241535,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143634&menuNo=200010
축제-기타,마포구,[M클래식 축제] 마포공연예술관광페스티벌 피아니스트 송영민의 [수아레 콘서트],2023-10-18~2023-10-18,마포아트센터 아트홀 맥,마포문화재단,8세 이상,"전석 20,000원","송연민, 고상지, 박건우, 안동영",,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2224&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8adbe3fef53242e8a3b7d87ac21e51da&thumb=Y,2023-07-06,기관,2023-10-18 00:00:00.0,2023-10-18 00:00:00.0,기타,37.5499060881738,126.945533810385,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142301&menuNo=200010
축제-기타,강북구,강북마임축제 [꿈짓],2023-10-15~2023-10-15,"북서울꿈의숲(문화광장, 볼프라자, 창포원)",강북문화재단,누구나,,,,,https://www.gbcf.or.kr/load.asp?subPage=110.View&page=1&idx=173,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1009aff0d8324699ae641392301701da&thumb=Y,2023-09-27,기관,2023-10-15 00:00:00.0,2023-10-15 00:00:00.0,기타,37.6202544613023,127.044324732036,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143526&menuNo=200010
축제-기타,종로구,[돈의문박물관마을] 돈의Moon나이트 10월,2023-10-14~2023-10-28,돈의문박물관마을 곳곳,돈의문박물관마을,시민 누구나,무료,,"돈의문박물관마을에서 한밤 중 취향을 발견하는 특별한 경험! 공연, 전시, 체험, 투어까지 각양각색 밤마실",,https://dmvillage.info/289,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=48764808d49a44acbe6548fe237cd1f5&thumb=Y,2023-09-23,기관,2023-10-14 00:00:00.0,2023-10-28 00:00:00.0,기타,37.56882394907892,126.96852312550762,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143472&menuNo=200010
축제-기타,양천구,제27회 목동로데오 패션거리 문화축제,2023-10-14~2023-10-14,목동로데오거리(목동역 2번출구-목동로25길 일대),양천구청,누구나,,,,,https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.do?cbIdx=254&bcIdx=280825&mode=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6a17de74b237407fb6e83fc57fedefe7&thumb=Y,2023-09-15,기관,2023-10-14 00:00:00.0,2023-10-14 00:00:00.0,,37.5170484539307,126.866476530571,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143352&menuNo=200010
축제-기타,송파구,송파 예술단지 프로젝트 [아트나바다],2023-10-14~2023-10-14,송파근린공원 (송파대로 42길29) ,송파문화재단,누구나,,,"<아트나바다: 아트와 나, 부산물의 바다> 는   송파를 기반으로 활동하는 예술인 네트워크   '송파 예술단지'에서 제안하고   송파문화재단이 주관하는 예술 축제입니다 .  ？",,https://blog.naver.com/songpaculture/223228304310,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7e4893637c2d454e8ecba0cc67196324&thumb=Y,2023-10-06,기관,2023-10-14 00:00:00.0,2023-10-14 00:00:00.0,기타,37.505929427057,127.109731490219,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143617&menuNo=200010
축제-기타,성동구,2023 한강페스티벌 가을 [Hangang River Festival-Fall],2023-10-13~2023-10-22,한강공원 일대,한강사업본부,누구나,무료(일부 프로그램 유료),,,,https://festival.seoul.go.kr/hangang,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=874012b8e1a540abb28a3604db5c45c7&thumb=Y,2023-09-11,기관,2023-10-13 00:00:00.0,2023-10-22 00:00:00.0,기타,37.5389557772121,127.041669171001,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143236&menuNo=200010
축제-기타,강서구,[강서구청] 제21회 허준축제,2023-10-13~2023-10-15,서울식물원 잔디마당,강서구청,누구나,무료,"* 10/14(토): 다비치, 김태우, 김다현  * 10/15(일): 코요테, 경서, 박현빈 ","허준전국가요제, 허준콘서트, 허주니어 선발대회 등 특색 있는 프로그램 및 의료건강체험관, 잔디밭 요가 등 다양한 체험 프로그램 운영",,https://www.xn--9y5b9p53i3tk.com/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0fa87a273f87421aa89782599c57c10b&thumb=Y,2023-09-13,기관,2023-10-13 00:00:00.0,2023-10-15 00:00:00.0,기타,37.569657094189104,126.83500723721524,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143305&menuNo=200010
