STDR_YM_CD,RD_LINK_ID,SIGNGU_CD,ADSTRD_CD,DAYWEEK_CD,AGRDE_CD,TMZON_CD,FLPOP_CO
201510,121646,11560,11560540,1,00,00,64
201510,121646,11560,11560540,1,00,01,0
201510,121646,11560,11560540,1,00,02,11
201510,121646,11560,11560540,1,00,03,15
201510,121646,11560,11560540,1,00,04,18
201510,121646,11560,11560540,1,00,05,16
201510,121646,11560,11560540,1,00,06,3
201510,121646,11560,11560540,1,10,00,0
201510,121646,11560,11560540,1,10,01,0
201510,121646,11560,11560540,1,10,02,0
201510,121646,11560,11560540,1,10,03,0
201510,121646,11560,11560540,1,10,04,0
201510,121646,11560,11560540,1,10,05,0
201510,121646,11560,11560540,1,10,06,0
201510,121646,11560,11560540,1,20,00,7
201510,121646,11560,11560540,1,20,01,0
201510,121646,11560,11560540,1,20,02,1
201510,121646,11560,11560540,1,20,03,2
201510,121646,11560,11560540,1,20,04,2
201510,121646,11560,11560540,1,20,05,2
201510,121646,11560,11560540,1,20,06,1
201510,121646,11560,11560540,1,30,00,21
201510,121646,11560,11560540,1,30,01,0
201510,121646,11560,11560540,1,30,02,4
201510,121646,11560,11560540,1,30,03,5
201510,121646,11560,11560540,1,30,04,6
201510,121646,11560,11560540,1,30,05,6
201510,121646,11560,11560540,1,30,06,1
201510,121646,11560,11560540,1,40,00,20
201510,121646,11560,11560540,1,40,01,0
201510,121646,11560,11560540,1,40,02,4
201510,121646,11560,11560540,1,40,03,5
201510,121646,11560,11560540,1,40,04,6
201510,121646,11560,11560540,1,40,05,5
201510,121646,11560,11560540,1,40,06,1
201510,121646,11560,11560540,1,50,00,12
201510,121646,11560,11560540,1,50,01,0
201510,121646,11560,11560540,1,50,02,2
201510,121646,11560,11560540,1,50,03,3
201510,121646,11560,11560540,1,50,04,3
201510,121646,11560,11560540,1,50,05,3
201510,121646,11560,11560540,1,50,06,1
201510,121646,11560,11560540,1,60,00,4
201510,121646,11560,11560540,1,60,01,0
201510,121646,11560,11560540,1,60,02,1
201510,121646,11560,11560540,1,60,03,1
201510,121646,11560,11560540,1,60,04,1
201510,121646,11560,11560540,1,60,05,1
201510,121646,11560,11560540,1,60,06,0
201510,121646,11560,11560540,2,00,00,22
201510,121646,11560,11560540,2,00,01,0
201510,121646,11560,11560540,2,00,02,3
201510,121646,11560,11560540,2,00,03,6
201510,121646,11560,11560540,2,00,04,6
201510,121646,11560,11560540,2,00,05,6
201510,121646,11560,11560540,2,00,06,1
201510,121646,11560,11560540,2,10,00,1
201510,121646,11560,11560540,2,10,01,0
201510,121646,11560,11560540,2,10,02,0
201510,121646,11560,11560540,2,10,03,0
201510,121646,11560,11560540,2,10,04,0
201510,121646,11560,11560540,2,10,05,0
201510,121646,11560,11560540,2,10,06,0
201510,121646,11560,11560540,2,20,00,4
201510,121646,11560,11560540,2,20,01,0
201510,121646,11560,11560540,2,20,02,0
201510,121646,11560,11560540,2,20,03,1
201510,121646,11560,11560540,2,20,04,1
201510,121646,11560,11560540,2,20,05,1
201510,121646,11560,11560540,2,20,06,0
201510,121646,11560,11560540,2,30,00,5
201510,121646,11560,11560540,2,30,01,0
201510,121646,11560,11560540,2,30,02,1
201510,121646,11560,11560540,2,30,03,1
201510,121646,11560,11560540,2,30,04,1
201510,121646,11560,11560540,2,30,05,1
201510,121646,11560,11560540,2,30,06,0
201510,121646,11560,11560540,2,40,00,5
201510,121646,11560,11560540,2,40,01,0
201510,121646,11560,11560540,2,40,02,1
201510,121646,11560,11560540,2,40,03,1
201510,121646,11560,11560540,2,40,04,1
201510,121646,11560,11560540,2,40,05,1
201510,121646,11560,11560540,2,40,06,0
201510,121646,11560,11560540,2,50,00,5
201510,121646,11560,11560540,2,50,01,0
201510,121646,11560,11560540,2,50,02,1
201510,121646,11560,11560540,2,50,03,1
201510,121646,11560,11560540,2,50,04,1
201510,121646,11560,11560540,2,50,05,1
201510,121646,11560,11560540,2,50,06,0
201510,121646,11560,11560540,2,60,00,3
201510,121646,11560,11560540,2,60,01,0
201510,121646,11560,11560540,2,60,02,1
201510,121646,11560,11560540,2,60,03,1
201510,121646,11560,11560540,2,60,04,1
201510,121646,11560,11560540,2,60,05,0
201510,121646,11560,11560540,2,60,06,0
201510,121887,11560,11560540,1,00,00,772
201510,121887,11560,11560540,1,00,01,5
201510,121887,11560,11560540,1,00,02,147
201510,121887,11560,11560540,1,00,03,187
201510,121887,11560,11560540,1,00,04,209
201510,121887,11560,11560540,1,00,05,185
201510,121887,11560,11560540,1,00,06,38
201510,121887,11560,11560540,1,10,00,6
201510,121887,11560,11560540,1,10,01,0
201510,121887,11560,11560540,1,10,02,0
201510,121887,11560,11560540,1,10,03,1
201510,121887,11560,11560540,1,10,04,2
201510,121887,11560,11560540,1,10,05,3
201510,121887,11560,11560540,1,10,06,1
201510,121887,11560,11560540,1,20,00,98
201510,121887,11560,11560540,1,20,01,0
201510,121887,11560,11560540,1,20,02,16
201510,121887,11560,11560540,1,20,03,23
201510,121887,11560,11560540,1,20,04,25
201510,121887,11560,11560540,1,20,05,26
