STDR_YM_CD,RD_LINK_ID,SIGNGU_CD,ADSTRD_CD,DAYWEEK_CD,AGRDE_CD,TMZON_CD,FLPOP_CO
201507,121646,11560,11560540,1,00,00,93
201507,121646,11560,11560540,1,00,01,1
201507,121646,11560,11560540,1,00,02,16
201507,121646,11560,11560540,1,00,03,22
201507,121646,11560,11560540,1,00,04,25
201507,121646,11560,11560540,1,00,05,23
201507,121646,11560,11560540,1,00,06,5
201507,121646,11560,11560540,1,10,00,1
201507,121646,11560,11560540,1,10,01,0
201507,121646,11560,11560540,1,10,02,0
201507,121646,11560,11560540,1,10,03,0
201507,121646,11560,11560540,1,10,04,0
201507,121646,11560,11560540,1,10,05,0
201507,121646,11560,11560540,1,10,06,0
201507,121646,11560,11560540,1,20,00,12
201507,121646,11560,11560540,1,20,01,0
201507,121646,11560,11560540,1,20,02,2
201507,121646,11560,11560540,1,20,03,3
201507,121646,11560,11560540,1,20,04,3
201507,121646,11560,11560540,1,20,05,3
201507,121646,11560,11560540,1,20,06,1
201507,121646,11560,11560540,1,30,00,29
201507,121646,11560,11560540,1,30,01,0
201507,121646,11560,11560540,1,30,02,5
201507,121646,11560,11560540,1,30,03,7
201507,121646,11560,11560540,1,30,04,8
201507,121646,11560,11560540,1,30,05,8
201507,121646,11560,11560540,1,30,06,2
201507,121646,11560,11560540,1,40,00,27
201507,121646,11560,11560540,1,40,01,0
201507,121646,11560,11560540,1,40,02,5
201507,121646,11560,11560540,1,40,03,7
201507,121646,11560,11560540,1,40,04,8
201507,121646,11560,11560540,1,40,05,7
201507,121646,11560,11560540,1,40,06,1
201507,121646,11560,11560540,1,50,00,17
201507,121646,11560,11560540,1,50,01,0
201507,121646,11560,11560540,1,50,02,3
201507,121646,11560,11560540,1,50,03,4
201507,121646,11560,11560540,1,50,04,5
201507,121646,11560,11560540,1,50,05,4
201507,121646,11560,11560540,1,50,06,1
201507,121646,11560,11560540,1,60,00,6
201507,121646,11560,11560540,1,60,01,0
201507,121646,11560,11560540,1,60,02,1
201507,121646,11560,11560540,1,60,03,2
201507,121646,11560,11560540,1,60,04,2
201507,121646,11560,11560540,1,60,05,1
201507,121646,11560,11560540,1,60,06,0
201507,121646,11560,11560540,2,00,00,33
201507,121646,11560,11560540,2,00,01,1
201507,121646,11560,11560540,2,00,02,5
201507,121646,11560,11560540,2,00,03,8
201507,121646,11560,11560540,2,00,04,9
201507,121646,11560,11560540,2,00,05,8
201507,121646,11560,11560540,2,00,06,2
201507,121646,11560,11560540,2,10,00,1
201507,121646,11560,11560540,2,10,01,0
201507,121646,11560,11560540,2,10,02,0
201507,121646,11560,11560540,2,10,03,0
201507,121646,11560,11560540,2,10,04,0
201507,121646,11560,11560540,2,10,05,0
201507,121646,11560,11560540,2,10,06,0
201507,121646,11560,11560540,2,20,00,6
201507,121646,11560,11560540,2,20,01,0
201507,121646,11560,11560540,2,20,02,0
201507,121646,11560,11560540,2,20,03,1
201507,121646,11560,11560540,2,20,04,1
201507,121646,11560,11560540,2,20,05,2
201507,121646,11560,11560540,2,20,06,1
201507,121646,11560,11560540,2,30,00,8
201507,121646,11560,11560540,2,30,01,0
201507,121646,11560,11560540,2,30,02,1
201507,121646,11560,11560540,2,30,03,2
201507,121646,11560,11560540,2,30,04,2
201507,121646,11560,11560540,2,30,05,2
201507,121646,11560,11560540,2,30,06,1
201507,121646,11560,11560540,2,40,00,7
201507,121646,11560,11560540,2,40,01,0
201507,121646,11560,11560540,2,40,02,1
201507,121646,11560,11560540,2,40,03,2
201507,121646,11560,11560540,2,40,04,2
201507,121646,11560,11560540,2,40,05,2
201507,121646,11560,11560540,2,40,06,0
201507,121646,11560,11560540,2,50,00,6
201507,121646,11560,11560540,2,50,01,0
201507,121646,11560,11560540,2,50,02,1
201507,121646,11560,11560540,2,50,03,2
201507,121646,11560,11560540,2,50,04,2
201507,121646,11560,11560540,2,50,05,1
201507,121646,11560,11560540,2,50,06,0
201507,121646,11560,11560540,2,60,00,4
201507,121646,11560,11560540,2,60,01,0
201507,121646,11560,11560540,2,60,02,1
201507,121646,11560,11560540,2,60,03,1
201507,121646,11560,11560540,2,60,04,1
201507,121646,11560,11560540,2,60,05,1
201507,121646,11560,11560540,2,60,06,0
201507,121887,11560,11560540,1,00,00,736
201507,121887,11560,11560540,1,00,01,5
201507,121887,11560,11560540,1,00,02,140
201507,121887,11560,11560540,1,00,03,181
201507,121887,11560,11560540,1,00,04,205
201507,121887,11560,11560540,1,00,05,171
201507,121887,11560,11560540,1,00,06,32
201507,121887,11560,11560540,1,10,00,2
201507,121887,11560,11560540,1,10,01,0
201507,121887,11560,11560540,1,10,02,0
201507,121887,11560,11560540,1,10,03,0
201507,121887,11560,11560540,1,10,04,0
201507,121887,11560,11560540,1,10,05,1
201507,121887,11560,11560540,1,10,06,0
201507,121887,11560,11560540,1,20,00,95
201507,121887,11560,11560540,1,20,01,0
201507,121887,11560,11560540,1,20,02,17
201507,121887,11560,11560540,1,20,03,24
201507,121887,11560,11560540,1,20,04,25
201507,121887,11560,11560540,1,20,05,24
201507,121887,11560,11560540,1,20,06,4
201507,121887,11560,11560540,1,30,00,238
201507,121887,11560,11560540,1,30,01,2
201507,121887,11560,11560540,1,30,02,45
201507,121887,11560,11560540,1,30,03,58
201507,121887,11560,11560540,1,30,04,65
201507,121887,11560,11560540,1,30,05,58
